,Row,Description,Descrition_Trad
0,SK_ID_CURR,ID of loan in our sample,ID de prêt dans notre échantillon
1,TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)","Variable cible (1 - Client avec difficultés de paiement: il / elle avait retardé de retard plus que x jours sur au moins l'un des premiers menstants du prêt dans notre échantillon, 0 - Tous les autres cas)"
2,NAME_CONTRACT_TYPE,Identification if loan is cash or revolving,Identification si le prêt est en espèces ou en tournant
3,CODE_GENDER,Gender of the client,Sexe du client
4,FLAG_OWN_CAR,Flag if the client owns a car,Drapeau si le client possède une voiture
5,FLAG_OWN_REALTY,Flag if client owns a house or flat,Drapeau si le client possède une maison ou un appartement
6,CNT_CHILDREN,Number of children the client has,Nombre d'enfants que le client a
7,AMT_INCOME_TOTAL,Income of the client,Revenu du client
8,AMT_CREDIT,Credit amount of the loan,Montant de crédit du prêt
9,AMT_ANNUITY,Loan annuity,Rente de prêt
10,AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given,"Pour les prêts à la consommation, c'est le prix des biens pour lesquels le prêt est donné"
11,NAME_TYPE_SUITE,Who was accompanying client when he was applying for the loan,Qui accompagnait le client lorsqu'il postulait pour le prêt
12,NAME_INCOME_TYPE,"Clients income type (businessman, working, maternity leave,)","Type de revenu des clients (homme d'affaires, travail de maternité, congé de maternité)"
13,NAME_EDUCATION_TYPE,Level of highest education the client achieved,Niveau d'enseignement supérieur Le client atteint
14,NAME_FAMILY_STATUS,Family status of the client,Statut de la famille du client
15,NAME_HOUSING_TYPE,"What is the housing situation of the client (renting, living with parents, ...)","Quelle est la situation du logement du client (location, vivant avec les parents, ...)"
16,REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region),Population normalisée de la région où vit le client (nombre plus élevé signifie que le client habite dans une région plus peuplée)
17,DAYS_BIRTH,Client's age in days at the time of application,L'âge du client en jours au moment de la demande
18,DAYS_EMPLOYED,How many days before the application the person started current employment,Combien de jours avant l'application que la personne a commencé l'emploi actuel
19,DAYS_REGISTRATION,How many days before the application did client change his registration,Combien de jours avant que l'application ait changé son enregistrement
20,DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan,Combien de jours avant que l'application ait changé le document d'identité avec lequel il a demandé le prêt
21,OWN_CAR_AGE,Age of client's car,Âge de la voiture du client
22,FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)","Le client a-t-il fourni un téléphone mobile (1 = oui, 0 = non)"
23,FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)","Le client a-t-il fourni un téléphone de travail (1 = oui, 0 = non)"
24,FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)","Le client a-t-il fourni un téléphone à la maison (1 = oui, 0 = non)"
25,FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)","Était un téléphone mobile accessible (1 = oui, 0 = non)"
